"FACILITY/SITE ID","FACILITY/SITE NAME","FACILITY/SITE ADDRESS","CITY","COUNTY","DISTRICT","DOCUMENT DATE","DATE RECEIVED","DOCUMENT TYPE","SUBJECT","PERMIT NUMBER","FILE TYPE","FILE SIZE","FILE PATH"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","04-20-2026","04-20-2026","MONITORING PLANS AND REPORTS RELATED","WETLAND SEVERANCE MONITORING","0173508003EI",".pdf","5.5 MB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.118750.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","04-09-2026","04-09-2026","MEETING RELATED","MEETING TO DISCUSS INCOMPLETE LETTER DATED MARCH 20, 2026","",".pdf","98.4 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.118433.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","04-02-2026","04-02-2026","OUTGOING CORRESPONDENCE","FOLLOWUP TO APPLICATION INCOMPLETE LETTER","",".pdf","641.6 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.118377.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","04-01-2026","04-01-2026","MONITORING PLANS AND REPORTS RELATED","WILDLIFE SURVEY IN WETLANDS","0173508003EI",".pdf","10.0 MB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.118371.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","04-01-2026","04-01-2026","ANNUAL REPORT RELATED","2025 ANNUAL REPORT","0173508003EI",".zip","97.7 MB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.118419.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","03-20-2026","03-20-2026","OUTGOING CORRESPONDENCE","APPLICATION INCOMPLETE LETTER","",".pdf","455.8 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.118269.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","03-13-2026","03-13-2026","REVIEW COMMENTS","DRAFT EHG MEMO","",".pdf","234.2 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.118903.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","02-18-2026","02-18-2026","PERMIT APPLICATION RELATED","RESPONSE TO RAI#1 SS PLANS","",".pdf","5.8 MB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.117691.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","02-18-2026","02-18-2026","PERMIT APPLICATION RELATED","RESPONSE TO RAI#1","",".zip","123.2 MB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.117674.1"
"MMR_173508","NORTH FLORIDA ROCK, LLC - MARIANNA MINE","5160 VERMONT ROAD","MARIANNA","JACKSON","NWD","02-10-2026","02-10-2026","OUTGOING CORRESPONDENCE","FOLLOW UP EMAIL ABOUT OGC 24-1721","0173508003EI",".pdf","283.0 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/26.117627.1"
