"FACILITY/SITE ID","FACILITY/SITE NAME","FACILITY/SITE ADDRESS","CITY","COUNTY","DISTRICT","DOCUMENT DATE","DATE RECEIVED","DOCUMENT TYPE","SUBJECT","PERMIT NUMBER","FILE TYPE","FILE SIZE","FILE PATH"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","08-01-2021","09-10-2021","DISCHARGE MONITORING REPORTS RELATED","DMR 2021 AUG MO PART A (665882) D-001 D-002","",".pdf","53.0 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1021317.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","08-01-2021","09-10-2021","DISCHARGE MONITORING REPORTS RELATED","DMR (R) 2021 AUG MO PART A (736833) D-001 D-002","",".pdf","51.8 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1183007.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","07-28-2021","07-28-2021","NONCOMPLIANCE RELATED","PHONE CALL MISSING DMRS","",".pdf","69.3 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1018964.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","07-01-2021","08-10-2021","DISCHARGE MONITORING REPORTS RELATED","DMR 2021 JUL MO PART B (736832)","",".xlsx","12.7 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1183000.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","07-01-2021","08-10-2021","DISCHARGE MONITORING REPORTS RELATED","DMR 2021 JUL MO PART B (661760)","",".xlsx","12.7 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1016468.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","07-01-2021","08-10-2021","DISCHARGE MONITORING REPORTS RELATED","DMR 2021 JUL MO PART A (661760) D-001 D-002","",".pdf","54.3 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1016467.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","07-01-2021","08-10-2021","DISCHARGE MONITORING REPORTS RELATED","DMR (R) 2021 JUL MO PART A (736832) D-001 D-002","",".pdf","51.8 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1182999.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","06-01-2021","07-20-2021","DISCHARGE MONITORING REPORTS RELATED","DMR 2021 JUN MO PART B (736830)","",".xlsx","12.6 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1182998.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","06-01-2021","07-20-2021","DISCHARGE MONITORING REPORTS RELATED","DMR 2021 JUN MO PART B (659127)","",".xlsx","12.6 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1010152.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","06-01-2021","07-20-2021","DISCHARGE MONITORING REPORTS RELATED","DMR 2021 JUN MO PART A (659127) D-001 D-002","",".pdf","53.0 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1010151.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","06-01-2021","07-20-2021","DISCHARGE MONITORING REPORTS RELATED","DMR (R) 2021 JUN MO PART A (736830) D-001 D-002","",".pdf","52.8 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1182997.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","05-01-2021","06-10-2021","DISCHARGE MONITORING REPORTS RELATED","DMR 2021 MAY MO PART B (736831)","",".xlsx","11.6 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1182992.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","05-01-2021","06-10-2021","DISCHARGE MONITORING REPORTS RELATED","DMR 2021 MAY MO PART B (656647)","",".xlsx","11.6 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1014762.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","05-01-2021","06-10-2021","DISCHARGE MONITORING REPORTS RELATED","DMR 2021 MAY MO PART A (656647) D-001 D-002","",".pdf","53.0 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1014763.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","05-01-2021","06-10-2021","DISCHARGE MONITORING REPORTS RELATED","DMR (R) 2021 MAY MO PART A (736831) D-001 D-002","",".pdf","51.8 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1182991.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","04-01-2021","05-20-2021","DISCHARGE MONITORING REPORTS RELATED","DMR 2021 APR MO PART B (736710)","",".xlsx","39.8 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.1182990.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","04-01-2021","05-20-2021","DISCHARGE MONITORING REPORTS RELATED","DMR 2021 APR MO PART B (643573)","",".xlsx","39.8 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.994241.1"
"FL0980722","NORTH FLORIDA ROCK","5160 Vermont Rd ","MARIANNA","JACKSON","NWD","04-01-2021","05-20-2021","DISCHARGE MONITORING REPORTS RELATED","DMR 2021 APR MO PART A (643573) D-001 D-002","",".pdf","54.0 KB","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.994240.1"
